,review,sentiment
10,Great built quality with super bass got it at just 899/- in Big Billion Days. Sound quality is really very great and battery backup is too good. I used this earphone 2 hours straight and battery dropped only 20% which is really very good. The only thing which disappointed me that the boat packaging which was arrived to me was little bit dusty it look like that the seller gave me old earphone at low price but when I hear the sound quality I was OK with the product.Go ahead and buy this prod...READ MORE,5
11,adl decent quality headset with a good quality sound and excellent bass with an excellent battery back up .......READ MORE,5
12,"It's very awful experience with the brand like boat .The boat Rockerz Headset has stopped working after  only a month of purchasing. First it's the right side headphone become silent and with in a week the left side. Don't buy, and overall don't trust blindly the brand name.READ MORE",1
13,Thank you flipkart for this best product of boat company sound quality is very good and best my rating ⭐⭐⭐⭐⭐READ MORE,5
14,I loved it..I found it better than what I was expecting. The built quality is high. In short it's awesome bluetooth earphones in this price. Go ahead and buy it.READ MORE,5
15,"Sound quality is nice 10/10 bass is absolutely great design is also make is different from other earphones , it also look preium while wearing it . Hence best earphone at this bugget 😎😎😎😎😎😎😎.READ MORE",5
16,Amazing Bluetooth Earphone from boAt.• Superb Bass• Crystal Clear Sound.• Awesome Battery Backup.Perfect & Premium Product from boAt.READ MORE,5
17,Super eraphones nd battery backup is too good nd love it nd I got Rs. 900 at this rate out standing performanceREAD MORE,4
18,So here is my review after 2 days....1.bass is good and boosted..2.sound quality is also nice..3.I got these earphones with 100% charging...i used them for two hours for two days...it was showing 50%...so the battery is also good...4. I think that the wires are little bit thin but it's okay...CONCLUSION: THEY ARE THE BEST EARPHONES YOU CAN GET AT THIS PRICE......THEY WILL BE MORE GOOD IF YOU CAN GET THEM IN SALE...READ MORE,5
19,"A very good piece at an economic price.If u are into quality and technology and not spending much, can go for it.Sound quality is awesomeBass goodControls and buttons make it easy to work with.Microphone is good,coz people on other side can hear U clean and clear.Design is also good at this price range.Connectivity average,but if in the same room or 1 wall apart within 20 feet is not a problem at all.Earpieces are not too lightweight,but wont produce pain in the ears.Quality of all p...READ MORE",5
20,"Sound Quality is Good , Battery Back is good , Design is good but it's will stop working after 2-3 months definitely because this is the 2nd boat rockers I have bought and stopped working after 2 monthsREAD MORE",1
21,Extra Bass decreases the quality of the overall Sound.BASS RATING :9.5/10If you have equaliser then it will be ok.but if you dont have correct  equaliser settings then it will be hard to hear the low tunes.Even though I'm a Huge bass lover yet I'm fully satisfied with bass quality but not at all satisfied with overall sound quality.SOUND RATING : 6/10Battery Backup is average.5-7 hour (60-70%Vol)BACKUP RATING : 7/10Connectivity is Good.CONNECTIVITY Rating : 8/10Call Quality is also G...READ MORE,4
22,"good product. better used dis for listening music not for calling purpose...bass is lit.. only the cons which i didnt like is during the call, it holds tight on ears and we can hear the echo of voice at the time we talk on call and it actually distracts. baaaky sab badiyaaa..READ MORE",5
23,"I just loved this earphone. Thank you flipkart for such an amazing product. superb bass, battery last for more than 8 hours. Only the thing that disappoints me is the Bluetooth range. Rest all is good.READ MORE",5
24,"Good delivery flipkart iam ordered on big sale offer got on just 999.Good headset, super sound quality, nice battery backup, thank u boat for this wonderful headsetREAD MORE",5
25,Amazing sound quality with boosted Bass. But if your r listing music on YouTube then might the sound quality may not that good as u experience on Gaana aap or related music app or music that you have download on your cell phone. Don't worry for that it only differ slightly i.e. unpredictable. Overall you will get owsm sound and bass experiences. Coming to the battery backup it is up to 6hrs + and charges quickly for urgent work.The build quality is good and has a magnetic end that don't work...READ MORE,5
26,"The battery suddenly go from 60% to 0% and then headphones turned off. Don't recommend this due this type of battery issue. I've read lots of comments saying that battery suddenly drop from 60% to 0%. Apart from battery issue the sound quality is decent not great like JBL. Also the noise cancellation is very bad, the person on the other end of the call can't hear voice properly.READ MORE",1
27,1st of i got this in 999 on freedon sale 1 day delievery and product packing is good.its easy too use and after 8 hrs of uses i write this review battry backup is too good and still its on 75% its well good for soft music l0ver and not reccommend for haevy bass lover. its better for pubg also calling with noise cancellation is also good. bass is not as much heavy but its okay on other budget bluetooth headset.READ MORE,5
28,My First Buyer Wireless Product Are V.Gd And I Loving It This Is Perfect Earphone but some time play pubg sound was not goodREAD MORE,5
29,nice product this product is for who loving bass and easy to hold in ear .it feel comfortable you may  download equalizer app for Better experience.READ MORE,4
30,""" ... Sound and base is perfect. ... """" ... Clear audible sound. ... """" ... Sound is very good even at a distance more than 10 feet! ... """" ... Good hearing sounds perfect. ... """" ... Sounds no problem ... """" ... Sound quality is good, fast connectivity to Bluetooth, good backup ... """" ... Sound quality is good ... ""READ MORE",4
31,Amazing sound just go got it...i bought it for 999 so it is good in this price range love itREAD MORE,5
32,Bass is good but not as good as what you expect. streaming source will decide the quality of sound. Gaana and wynk I didn't find that exceptional audio. but it is decent when played via YouTube and Netflix. just one day use. will update details very soon.READ MORE,2
33,Ear phones (buds) are bigger and not comfortable for long use.Sound quality is average and bass strength is below average.Battery backup is fine for continuous use of 5-6 hrs...but low battery kicks in at 40%  and stops earphone functioning.Price can be more competitive since the product doesn't have the quality against the competitionREAD MORE,2
34,"Awesome product. The best neckband in this price range. No other neckband is comparable to this. I even tried the Boult curve, and the experience was worst. So I highly recommend Boat Rockerz 255 to all.READ MORE",5
35,If u r buying it just for phone calls then it's ok but if u r looking for music or games. Don't buy it. Sound quality is just quiet ordinary. Battery back up is decent. Price is high as per quality standards. Needs improvement in sound quality or reduction in price.READ MORE,2
36,"Nice product thank you flipkart for genuine products im happy with this headset good Battery backup and voice clarity, comfortable with it.READ MORE",5
37,Overall good experience but after 6 months left side speaker stop working so litterly feel bad unless upto 6 months works good sounds good everything goodREAD MORE,3
38,So i bought this product on offer Comfort - 4/10 ( Please do not purchase this product if your only concern is comfort this earphones gives pain in the ear after 1 hour of listening music do not even think about watching a whole movie while wearing this earphones although i have watched and my ears started paining the magnets which is there it makes the earphones heavy )Design - 7/10 ( The build quality is fine the charging port could have been better the cover of the charging port feels ...READ MORE,3
39,"It looks awesome and official..... & about sound quality is also nice but not like headphones, I like it's sound quality also..... & about battery 🔋 backup it also good 6hours of battery backup.....READ MORE",5
40,Pretty average headset. Mic stops working in little sweat. Bass is not upto the mark. 500 Rs earphone has better bass than this. I would recommend comparing with other headphones before purchasing this.READ MORE,3
41,"What to say about the product,very much satisfied with the sound quality and the bass,bass is also good but not comparable with the wired one.Connnectivity is good but could be improved but the back up time is fabulous.Overall a very good product in this rangeREAD MORE",4
42,"I have got boat rockers 510( Last yr) and this is my second boat rockers 225( I got for gyming purpose ) as I had it ordered earlier ( in jan ) to gift my dad. It's quite gud and is as competitive as jbl, sony, oppo or senhiesser. Its a total made in India product ( HQ- mumbai) and i intended to buy made in India product as I felt it's well upto par with many Int'l brands in that price tag. Kudos for reading my review.READ MORE",5
43,"This is really value for money product. Do full charge, it will take approx. 2 hrs 40 mints. Enjoy continuous 3 hrs music or calls. Noise proof. Good to hear and absolutely easy to carry. Best for gym guys as good sweat proof. Thanks for the lovely and trustable product.READ MORE",5
44,Nice product awesome bass nice design battery backup 6 hrs .... Ple improve battery backup boat new product launchREAD MORE,5
45,Don't buy this product. It's just wasted money only. better to buy good and trusted brand product. i am facing connectivity issue like after connected this headset with mobile or laptop then you have enjoy your music with lot hitch.READ MORE,1
46,superb music sound is good bass superb and battery backup is also goodREAD MORE,4
47,Got it at 799 and best of best deal superb sound quality Awesome ProductREAD MORE,5
48,good product good sound quality and we can say that base is upto mark good build quality nice productREAD MORE,5
49,Best wireless earphone under 1k.Bass is damm awesome.Design is almost good but wire is a little bit small.If you buy for listening bass boosted audios then good otherwise you have to use an equalizer if you listen to mood calming music as the clarity of sound would lack because of bass.You can't play PUBG or any shooting or battle royal games as there is time delay which can get you killed before you get aware of enemies.READ MORE,5
50,best Bluetooth Ear phone ever had if anyone have... a question about the Bass quality. no worries it works amazing.. but bcz of bass boost the sound quality slightly gets low... and battery performance is also awesomeREAD MORE,5
51,headset is good specially for sports and bass lover. sound loudness is good. bass is excellent. mid tone is ok. and low tones are average. if you like boom boom so you'll not dissatisfied with it. noise reduction is excellent. in 100% noise reduction is 100 in 80% to 70% reduction is about 90% and in 50% reduction is 70 l% overall excellent experience. and bad thing about it wire qualty. wires are thin. my ratings areloudness- 8/10bass- 10/10high tones- 8/10mid tones- 6/10low tones- 3/10...READ MORE,3
52,truly i am not at all satisfied with this product... its speed is too slow... as it comes with older bluetooth version 4.1... i will recommend u guys dont go for it... if u want to get well satisfied then go for new versions one... or other options is jbl... price will comes easily under the new version one... i already gave my reviews now its yours turn to choose the right one... thank uREAD MORE,1
53,Good build quality and extra bass with amazing sound . very nice product product for bass lover . Thanks boat ...Thanks flipcart's seller.....READ MORE,5
54,If u love bass this is the Earphones to go for ..Sound Quality  is par average and the BASS is BOOM killer ..Indian music and EDM is pleasure to listen in these..Build Quality and Connectivity is average..But these are bit  uncomfortable anyone  will take a week or so to get comfortable with these ..Verdict - Great Earphones if u get it under 1kotherwise go for Xiaomi Sports Bluetooth..READ MORE,4
55,nice product l really like it😀 battery backup is awesome 👍👍 4  movies  finished in one time charge     really   goodREAD MORE,5
56,"Nice deal at 999 Rs. I am not a sound quality expert but its good as compare to Samsung Level U. It has enough Bass, Noise cancellation and Sound clarity. Light weight and Good design.  The only con I feel after using for around 4 months, The Mic is not positioned well sometimes I need to hold it near to my mouth while on call in a crowdy place.READ MORE",4
57,"Extremely good bass and sound quality. The best model in this segment. Nothing can beat BOAT. You can blindly go for this model. Beats all the competitors like JBL, Sony,  Mi,  etc., REAL BEASTREAD MORE",5
58,"Basically this is the best available value for money product.Firstly the consLAG WHEN USED IN TVI think these sometimes lag with the TV, either it's because of the distance between the TV and the user or however. There's seemingly some small lag u notice in using these headphones.At other times this seems very minimal and is ok to have been using with TV.CHARGING THE HEADPHONESThe voltage of the charging of the headphones is at 3.7v but there is no charger provided with the package,ne...READ MORE",5
59,"Worst, it's not worth for money. I recommend you not to buy this. Go for other best onesREAD MORE",1
60,nice product nice sound nice delivery . but not properly fitted on my right ear slight looseREAD MORE,5
61,Used for 1 month it was nice... Later I was not using.... Again After 6 months started using... Worked for two months properly n right side stopped working... N after 1 month left side also gone....READ MORE,2
62,"It's a nice product with decent sound quality. The reason I m giving it 2 stars is because this headset does not catch voice from voice recorders which was the main reason for which I bought it.If I have to send a voice msg to anyone den I will have to speak through my phone's mic, dis headset does not catch the voice from voice recorder of any social media apps like WhatsApp. And Yes, battery backup could have been more.READ MORE",2
63,"Not satisfied , its just ok OK product. I was using JBL , its pretty good compared to thisREAD MORE",1
64,"Ear tips (buds) rubber little hard so not stable in ear without ear holder and it's paining and easyl came out to ear, using long time it will painfull. I changed with my old mi basic earphone it's very softer you can use all day without any pain.#Sound quality very good nice bass#Build quality good#Control botton are little more distance between. You need to search over to find control switches. # it will better if close each so easily accessible.# I gave 3 star for# cable are so hang...READ MORE",2
65,"I bought this to pair up with my Mi10 and the sound quality is amazing. Good design and colour, comfortable neckband makes it easy to use. It's easy to receive calls using this headphone and it's a must have in this price range. If you're looking for a great headphone within this budget, this boat item is worth the purchase. Great delivery 👍 from flipkart and as usual the best quality from Boat!!!READ MORE",5
66,"It's good if u on the equilizer and adjust accordingly to ur use it will be nice ,the sound quality is awesome,there is a rich bass in it with loudness, battery life is also good.Con's:-/()/--But the only con is latency while playing game ( pubg ).But the sound is clear (HD)we can hear the foot steps from where it is coming from..READ MORE",4
67,"Got delivered on 6th of March and writing this review on the 3rd of June, almost 3 months. This product is really good. I do 2 stuff when I am free. Listen to the songs or play Pubg. I have used JBL bluetooth earphones of this price range but this one is better than the jbl. The bass is so good that you will literally feel your ear drums vibrating. Audio is very crisp and clear. Most of them say thay bluetooth earphones delivers a delayed sound while playing pubg well... It happened with me w...READ MORE",4
68,Waste of money ...my earphone properly worked only 1 month and then i had returned and next earphone was properly worked Morales 2 monthsREAD MORE,1
69,"just after completion of One Year (warranty period) of decent use, the right speaker Stopped Working. As its price is not so cheap, expected that it will deliver good service at least for two years but.. :( :(READ MORE",2
70,It's not good for some days it is good after some month it's a not good sound quality is not good sound we can't hear properlyREAD MORE,2
71,Sound quality are not good and battery backup are not good kindly make good product.READ MORE,1
72,1. Design and build up qualify is not good as per rate 2. Sound quality is also not good as per rateREAD MORE,1
73,BEST PRODUCT. GOOD BASS. GOOD SOUND. BEST PRODUCT UNDER ₹1500.READ MORE,5
74,"Just one word Wow for the headset, awesome sound quality. Superb sound, amazing bass, good connectivity, nice battery backup... totally worth of money. if  thinking to buy Bluetooth headset go for it guys without trepidation. Finally thanks Flipkart for prompt delivery.READ MORE",5
75,No doubt it has a great bass and to a great extent noice cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.*bluetooth range not more than 10m and i connect lappy and mobile both. it really goodREAD MORE,5
76,Must he clear sound best in class smooth and clear soundRun time lessREAD MORE,3
77,nice battery back up  bass sound works in  minimum   volume also great  sound is great  value for money 1499/rs is high it I should be bitter lowREAD MORE,5
78,"Guys, this is a great product. Please don't look at any other option in this price. - It is lightweight and one can't feel anything heavy on their neck. - I tried various equalizer settings and it responded great with all of them. - Great connectivity with all popular Android devices. (Redmi Note 8 pro and Pixel 3 - no issues at all)- Battery life: Its been a day so can't say much right now but I get a feeling that it will impress you for sure as I used it for 3 hours and didn't experienc...READ MORE",5
79,I am writing this review after 3 months of usage . The sound quality is good but build quality is not upto the mark. In just 3 months my right side ear piece stopped working. I claimed the warranty against it. but the service center is located at mumbai only so it takes around 20-30 days and even they dont replace it with new one they just send uh repaired product .READ MORE,1
80,"It's not that good for calls , It is good only for music.Mic is worst  , not able to take calls while riding cycle or bike. Blat should work on Mic quality and Mic/ Battery performance rest everything is good .READ MORE",1
81,I purchased it for 999.  superb product with a great sound and perfect calling. the length if the wire could be short and neck band could be long to adjust the fit.. but overall best in class and its a steal deal.. go for itREAD MORE,5
82,"Good sound quality with best bass sound (extreme bass)  but bild quality is good & look like premium but it is not , made up of rubber, plastic & steel finish in speakers side .  But in this price it is really outstanding bluetooth earphone which u can't see in any other bluetooth earphones'....... The delivery of this product was fast and satisfied..... At last it is mostly made for bass lover....READ MORE",5
83,Everything looks good. But it will be great if its durable. If these earphones work efficiently after 1 year then its worth money. Lets see.READ MORE,4
84,superb Bluetooth headset at this range good battery backup & sound clarity bass excellentREAD MORE,4
85,Amazing product with good sound quality. Must buy. Thank you Flipkart for the faster delivery than expected even during BBD.READ MORE,5
86,"Hey guys if you are really base lover then no doubt you will like this product I personally recommended you to go for it, because with this prize range no one will provide the best from them. I am having this earphone since last week I wanted to know you all that battery backup is not up to the mark, but you can enjoy watching 2 movies very comfortably without draining battery.READ MORE",4
87,1st 4 month it worked good but after that its not working properly .....and most difficult thing is I need to adjust that wire in steady position to listen whenever I want.....left earphone stops to work properlyREAD MORE,1
88,"18 days after delivery, the headphones work only when connected to a power source also these are not good for running. There is a constant 'Thud-Thud' sound made by the neck-band while you run. It mixes very loudly with the music. Not recommended for long distance runners.READ MORE",1
89,"Don't prefer this product it works fine only for a month after that sound,bass everything will be very low which you can't hear... So don't prefer this product it's a unworthy productREAD MORE",1
90,Right bud stopped working right after a month.not good if yua riding bike....people can't hear u properly until unless mic is near ur mouth.... and only 6hrs of backup.... and pains alot if u r using with Helmet 🙃 worse product of boat 💯READ MORE,1
91,wow... I am amazed with the quality and sound and boss.. Download Poweramp music player app and see the difference. it' will be more best with clear audio and bass.must buy - bluetooth headsetREAD MORE,5
92,So far so good. Facing no problem till now. Battery lasts approx. 2 days with regular/medium usage. Sound quality is also decent for calls. Light weight and fits perfectly well around the neck. Very good for the Price.READ MORE,5
93,very nice product 👌👌 awesome quality sound quality is good  and battery backup is too goodREAD MORE,5
94,"bought 5 days before charged for 2 hours but still not working, if I plug for charging it works if I remove it won't asked for replacement but still no response very nice flipkart fed up with u guys very niceREAD MORE",1
95,I can't explain how eagerly i m waiting for this product thnks to flipkart who has given us an opportunity to buy this type of products in decent discount n now i got this product i m really impressed with the overall product performance but the only cons. i find while using is changing songs track is little bit confusing for me ..rest whole product is too good.READ MORE,4
96,"I have purchased this product for 999 for this price it's Worthy. I loved the sound, built quality and battery life (5 to 6 hours).I don't like the ear tips, it not that comfort for long time and when we take calls, it not clear in out door.READ MORE",4
97,it's a good choice to buy because it's too comfortable to wear and it's looking nice because the design is looking beautiful so if you going to buy new Bluetooth earphones then buy this because and somebody's know who have this that a small magnet is behind of earplugs. it's nice because chipkao aur maze karo...............READ MORE,4
98,good product  excellent bass i am happy but cable is too long I buy it great India festiv sell offer@999 thanks to filipkartREAD MORE,5
99,2days of use then i am going to write this sound and bass is great.but when it comes to built quality it average and bettery beckup is worst average 5 hours use and it take huge time to full charge like 2-2.5hours.and bettery indicater is not work properly is still on 100% until u use 3hours suddenly it's come on 60% after 1 hour it's on 40% and after 1 hour it's on 20% after 20 % bettery it's drain very quickly like in 20-25 min it's switch off so don't go for if you are buying to watch a mo...READ MORE,1
100,"Worth buying this product.. I got this product for 874 bucks as I used my 25 super coin. That 25 super coin made me to wait 11 days as I placed an order for this product on 30 Sept and it received it on 11 Oct. About the product: It's superb. You should try it only if it's under 1000 bucks. I am happy with the product. Coming to the delivery part, I am totally disappointed with the service provided by the flipkart. My friend ordered the same product on the day i.e. 30 Sept for 899 bucks witho...READ MORE",4
101,"great product, crystal clear sound bass is super, battery backup is also good much More better than ""JBL"" and ""skullcandy"" worth for penny. I recomond go for it without any doubt. But only one problem the delivery boy took 10.Rs extra from me I asked him why he told that he takes regularly 10.Rs extra from all customers. So can we give 10.Rs extra for them please reply this question is for all customers.READ MORE",5
102,Really Awesome. After my headset Samsung Level u I take this one from here.Its really awesome and also what the features are given inside the headphone are true. Boat Nirvana is really awesome one. If I'm comparing with others it's really looking good and can use it roughly.READ MORE,5
103,Earphone is much better with compassion to price... But when volume is full bass clarity found little poor.. Go for it guys.... Good product..READ MORE,4
104,It's amazing.. It has deep Bess and clear sound quality.. for any songs.. u can recommend it for remix(deep Bess) and smooth classical songs also..READ MORE,5
105,This earphone has very good sound quality and bass is really superb  and battery backup also good 4-5 hours and their built quality is also good & impressive look.READ MORE,5
106,boat rockerz 255f is best for sports person if u want buy i prefer u that good headset i used 2months it's still fine.bass is 🅰️1sounds is good too build quality is finebattery backup 3-4 hours but when inside  phone is nothing play u Just running your phone is something sounds coming in headset like zzzzz & silent again u using then come again zzz _ silent that's my review i hope help u guysREAD MORE,4
107,"wow this was really a great wireless bluetooth . bass and sound clarity was really great . at 1500 rs so this type of bluetooth headset was really great. boat products all was really very good in bass ,sound quality and build design and low price . this alot better than those jbl,skullcandy,sony those products are not much bass and sound clarity only price is very high but boat was really a great product dont think about other products those all are nothing infront of these boat . this wirele...READ MORE",5
108,"Amazing product with superb build quality, Rich and heavy Bass. Sound clarity is very good but the bass can't be reduced even when set to minimum on the phone equalizer. I love heavy bass even then I felt it bit heavier than I prefer. Comfortable and Fits perfectly in the ears. Over all very Happy with the product at this price 1399...READ MORE",4
109,"nice genuine product... speed connecting, sound quality good.. great battery backup.. magnetic..Google assistant works well,  call clarity super.., no issues.. satisfied ...  just buy it and enjoy...READ MORE",5
110,overall good .. battery backup excellent.. good bass .. but sound quality is little bit unbalanced .. but at this price range it's too good .READ MORE,4
111,"Audio quality is decent. BUT the left bud has become low in sound than the right... Right is Louder! Something wrong with my product I can't return the product on Flipkart because I didn't keep all the tiny bits in the box safe, because it worked fine for a few hours and the next day it's like this. I had a pair of boat rockers 400 or so...lasted 5-6 months... Now this incident has made me lose all trust in Boat. Waiting for their response on customer care.UPDATE: Talked to customer car...READ MORE",5
112,"Almost quiet some time now using this. The right side speaker is not working. The quality of sound from the beginning was poor. You don't get max volume at all, compared to others. Definitely wouldn't recommend thisREAD MORE",1
113,It's all good at the beginning it will be very easy and convenient good noise cancellation...you can't talk properly in calls and I been using this for 7months and Im regular user like I wear this on always and minimum I charge once a day.now one side speaker is not working as far now it was fine but not meant for long life.   Short term use it's extreme goodREAD MORE,2
114,"Awesome product 👌😍😍. I am impress this earphone . amazing bass😘 ,sound , all are nice . comfortable any work use this . light weight , but wire are slightly short and battery backup are slightly low ....👌👌💕💕😍😍READ MORE",4
115,Genuine review after 1 year use 1. Battery - Its awesome believe me good for a day .2. Build quality -  Build quality is very good i have used it so rough .. so so rough but really it never gives any problem.3. connectivity - My device get connected auto when i open bluetooth.4. Mic - mic is superly fantastic for calling purpose its more than superv . 5. Sound quality- sound quality is average not that good as compared to these range headphone or earphone . If you are purchasing o...READ MORE,4
116,Good earphone very easy to manage while on call and doing other stuff also. But mic does not have good noise cancellation. If you are in silent place it's good otherwise it will catch side noise in mic. Battery life is not very satisfying.READ MORE,4
117,"I usomg this earphones from past 7 months till now,its working amazingggggg performance mainly in bass is outstanding for this budget this the excellent one to buy no another faults excellent working for bass lovers this one and only option in this budget,battery backup aslo nice but one minor disappointed point is for full charge it take 2 hrs time, only this i notice disappointed point remaining this the perfect and amazing product 👌👌👌 bass lover must buyREAD MORE",5
118,"Nice built quality,its absolutly free to use ,if you are buying to play game its having a 1 sec lag that would be a prob to pubg gamers,sweat proof,Nice battery backup,i been using it for 2 month still no prob,if you are buying it fo listening to music and needs good bass this aint that goodREAD MORE",4
119,I love it sooo much i brought it for 900rs and its dam good at this price but after 6 mth sudenly one side stops working then i approach to the comy and they are so helpfull the imitate pickup next day and tgaey are very responsive when i get its solution i will update this comment for sure this case happen just 4 days age soREAD MORE,5
120,First i got it for Rs.999 on republic day sale1.Sound And Base are very good (8.5/10)2.Battery Life Decent but battery percentage showing is not correct(10/7)3.Charging time also normal like around 1.30 hour(10/7) Overall if get that in 999 it is a good dealbut if you want more battery life then go for realme wirelessREAD MORE,4
121,"Don't use for long time. The spikes used to settle in ears will hurt your ears and causes immense pain. Great with sound, clumpsy with google assistant, average bass, good for melody songs, good for workout. While jogging little bit inconvinence. Best headset for 1000rs. Worst if you pay more!READ MORE",5
122,"Price should be less for this headset. Although, build quality is good should not except much at this price point. Bass is good and the sound not very best not crystal clear but will do good.READ MORE",3
123,Elegant design Great sound quality.Best choice for Bass lovers.Very compatible build quality  is  fitting inthe ear very perfectly for any ear size. As mysef and my friends tried it.Battery backup is great after using it for one hour also it is still 100%.Blutooth connectivity is very quick.I have been already using Boat 1000 blutooth speaker from that product I impressed on Boat..and I recommended many of my friends to buy Boat products.It really valuable price with a great fea...READ MORE,5
124,"at 1100 bucks this surely for me comes out as a very good article. rough and tough earphones with mic. good sound. decent base if sound controlled. at full volume it gets distorted.go for it without hesitation, especially the ones who don't wish to shell out fortune on headphonesREAD MORE",5
125,"Sound clarity is less when compared to other headsets. You will get good bass and noise cancellation. If you prefer soft music, dont go for thisREAD MORE",4
126,I got it only 999 after 2 week use now I'm given my personal experience that this product is excellent specially sound quality awesome and Bess is good better backup after full charge 7 to 8 hours we use continues...READ MORE,4
127,Really loved the product...a bargain at a price of rs 900. But comparing with wired it lacks much bass. i refer to wear this only when i travel to avoid the tangling wires. but while at home i use the wired they are good. For those who want to hear music during work and all this is best..battery backup is to 4 to 5 hrs if hear at a moderate volume...noise cancellation is best in classREAD MORE,4
128,"First thing, I bought this because I got it for 899 during big billion days. So w.r.t that price this is a decent product to buy. But BEFORE you BUY it, you need to know the following:Positive:1. It has a good sturdy hardware2. Water resistant3. Magnetic earbuds dt sticks (and dts all it does )Scope of improvement:1. No Google assistant or any AI Assistant communication activation hands free using it.2. It can only play/pause mp3 players. Doesn't work with prime video, hotstar etc.(...READ MORE",3
129,"design : band quality good, wire quality ok.comfort : it is very light weight so very comfortable. you can ware it all day.battery back up : more than 1 day for normal user on single charge, 90 minutes to fully charge.Sound : not a balanced sound, it has more emphasised bass which is good for more users. Vocals and trebles are average.READ MORE",4
130,Good earphone. Not going to put pros and cons as it varies between people based on their taste. Thus making some points which can be taken into account.Points:1. Good clarity2. Bass level is high.3. Nice treble.4. Good noise reduction.6. Good voice clarity over calls5. Good microphone and receiver6. Bluetooth is good. But it is version 4.1. Would have been better if it's 4.2 or higher.7. Codec is SBC. Would have been better if it was AAC or aptX.8. Good built quality.9. Easy to wea...READ MORE,4
131,This is one of the best Bluetooth wireless headphone I have come across. the battery back up is easily more than 5 hrs.. though I am yet to use it continuously non stop. I usually charge it once 3-4 days. The charging time is a bit longer but that's acceptable considering the huge battery back up you get in return.   the sound clarity is awesome.Go for it guys and you won't regret your decision. keep your eyes and ears open and if you lucky you may get it at little more than half the pr...READ MORE,5
132,"best bluetooth earphone in this price range..I have used many branded earphone like samsung,sony,skullcandy etc...so I can tell u confidently this is the best earphone under 1500..even sound quality and bass more better than any Bluetooth earphone up to 2500 price range..but I dont like 2 things of this earphone!1) battery backup is not great..(almost 5hr play back time)2) earbuds are little bit heavy weight nd eartips are not so soft like sony or samsung..Overall u can go for it blindly!READ MORE",5
133,it is a very good for around 1000 rupeesbut it is not suitable above that price cons- bass is little low than othersome noise cancellation is also not done properlypros- excellent design       battery backupit is only for basicother than it is not useful for music bass loversREAD MORE,3
134,nice battery backup....awsm bass.... before use this headset i use boat 400 and 510 but comfort level is not good on that headset...but this headset highly comfortable 😘😘READ MORE,5
135,"good in ear headphone, nice bass , nice battery backup, overall good performer.. you can go for it.not crisp and clean vocals sound listning exp but good music listning experience.READ MORE",5
136,"Best among the Best in this segment.Trust me, its worth every penny when u buy it for 999.You will love it.READ MORE",5
137,terrific product.quick delivery of the product and very handy in usage.you need use proper ear bud and ensure it is properly fitting in your ear.If you planning to buy this one go ahead do not give a second thought can be bought.READ MORE,5
